ea_year,lea_code,lea_name,school_code,school_name,grade,new_lea_code,new_lea_name,new_school_code,new_school_name,new_grade,count
2011,1,DISTRICT OF COLUMBIA PUBLIC SCHOOLS,204,BANCROFT ES,4,1,DISTRICT OF COLUMBIA PUBLIC SCHOOLS,204,BANCROFT ES,5,56
2011,1,DISTRICT OF COLUMBIA PUBLIC SCHOOLS,204,BANCROFT ES,5,,Out of District,,Out of District,,10
2011,1,DISTRICT OF COLUMBIA PUBLIC SCHOOLS,204,BANCROFT ES,5,,Other Outcome,,Other Outcome,,-1
2011,1,DISTRICT OF COLUMBIA PUBLIC SCHOOLS,204,BANCROFT ES,5,109,CESAR CHAVEZ PCS,127,CESAR CHAVEZ PCS CHAVEZ PREP,6,-1
2011,1,DISTRICT OF COLUMBIA PUBLIC SCHOOLS,204,BANCROFT ES,5,1,DISTRICT OF COLUMBIA PUBLIC SCHOOLS,442,COLUMBIA HEIGHTS EC,6,-1
2011,1,DISTRICT OF COLUMBIA PUBLIC SCHOOLS,204,BANCROFT ES,5,1,DISTRICT OF COLUMBIA PUBLIC SCHOOLS,405,DEAL MS,6,24
2011,1,DISTRICT OF COLUMBIA PUBLIC SCHOOLS,205,BARNARD ES,PS,,Other Outcome,,Other Outcome,,12
2011,1,DISTRICT OF COLUMBIA PUBLIC SCHOOLS,205,BARNARD ES,PS,1,DISTRICT OF COLUMBIA PUBLIC SCHOOLS,205,BARNARD ES,PK,49
2011,1,DISTRICT OF COLUMBIA PUBLIC SCHOOLS,205,BARNARD ES,PK,,Out of District,,Out of District,,-1
2011,1,DISTRICT OF COLUMBIA PUBLIC SCHOOLS,205,BARNARD ES,PK,,Other Outcome,,Other Outcome,,16
2011,1,DISTRICT OF COLUMBIA PUBLIC SCHOOLS,205,BARNARD ES,PK,1,DISTRICT OF COLUMBIA PUBLIC SCHOOLS,205,BARNARD ES,KG,56
2011,1,DISTRICT OF COLUMBIA PUBLIC SCHOOLS,205,BARNARD ES,KG,,Out of District,,Out of District,,-1
2011,1,DISTRICT OF COLUMBIA PUBLIC SCHOOLS,205,BARNARD ES,KG,,Other Outcome,,Other Outcome,,13
2011,1,DISTRICT OF COLUMBIA PUBLIC SCHOOLS,205,BARNARD ES,KG,1,DISTRICT OF COLUMBIA PUBLIC SCHOOLS,205,BARNARD ES,1,76
2011,1,DISTRICT OF COLUMBIA PUBLIC SCHOOLS,205,BARNARD ES,1,,Out of District,,Out of District,,-1
2011,1,DISTRICT OF COLUMBIA PUBLIC SCHOOLS,205,BARNARD ES,1,,Other Outcome,,Other Outcome,,10
2011,1,DISTRICT OF COLUMBIA PUBLIC SCHOOLS,205,BARNARD ES,1,1,DISTRICT OF COLUMBIA PUBLIC SCHOOLS,205,BARNARD ES,2,52
2011,1,DISTRICT OF COLUMBIA PUBLIC SCHOOLS,205,BARNARD ES,2,,Other Outcome,,Other Outcome,,-1
2011,1,DISTRICT OF COLUMBIA PUBLIC SCHOOLS,205,BARNARD ES,2,1,DISTRICT OF COLUMBIA PUBLIC SCHOOLS,205,BARNARD ES,3,44
2011,1,DISTRICT OF COLUMBIA PUBLIC SCHOOLS,205,BARNARD ES,3,,Other Outcome,,Other Outcome,,-1
2011,1,DISTRICT OF COLUMBIA PUBLIC SCHOOLS,205,BARNARD ES,3,1,DISTRICT OF COLUMBIA PUBLIC SCHOOLS,205,BARNARD ES,4,51
2011,1,DISTRICT OF COLUMBIA PUBLIC SCHOOLS,205,BARNARD ES,4,,Other Outcome,,Other Outcome,,12
2011,1,DISTRICT OF COLUMBIA PUBLIC SCHOOLS,205,BARNARD ES,4,1,DISTRICT OF COLUMBIA PUBLIC SCHOOLS,205,BARNARD ES,5,54
2011,1,DISTRICT OF COLUMBIA PUBLIC SCHOOLS,206,BEERS ES,PS,,Other Outcome,,Other Outcome,,-1
2011,1,DISTRICT OF COLUMBIA PUBLIC SCHOOLS,206,BEERS ES,PS,1,DISTRICT OF COLUMBIA PUBLIC SCHOOLS,206,BEERS ES,PK,32
2011,1,DISTRICT OF COLUMBIA PUBLIC SCHOOLS,206,BEERS ES,PK,,Out of District,,Out of District,,-1
2011,1,DISTRICT OF COLUMBIA PUBLIC SCHOOLS,206,BEERS ES,PK,,Other Outcome,,Other Outcome,,-1
2011,1,DISTRICT OF COLUMBIA PUBLIC SCHOOLS,206,BEERS ES,PK,1,DISTRICT OF COLUMBIA PUBLIC SCHOOLS,206,BEERS ES,KG,34
2011,1,DISTRICT OF COLUMBIA PUBLIC SCHOOLS,206,BEERS ES,PK,1,DISTRICT OF COLUMBIA PUBLIC SCHOOLS,247,C W  HARRIS ES,KG,-1
2011,1,DISTRICT OF COLUMBIA PUBLIC SCHOOLS,206,BEERS ES,KG,,Other Outcome,,Other Outcome,,-1
